Workout,Reps-x-Sets
Squats,3X5
Overhead-Press,2X8
Deadlift,3X5
Bicep Curl,3X8
Push-Ups,3X10
Bench-Press,3X5
Pull-Ups,5X3
Lat-Pulldowns,3X8
Shoulder-Shrugs,3X8
HangClean-N'Jerk,3X5
Shoulder-Dips,2X8
Barbell Lunges,3X8
Bent Over Row,3X5
Kettleball-Swings,3X10
Jog,10-Minutes
Downward-facing Dog,3X10
Sitting-Chair,3X10
Balancing-Table,3X10
Cobra,3X10
Cat-Cow,3X10
Crescent-Moon,3X10
Foam-Roll,5-Minutes
Exercise-Bike,10-Minutes
Burpees,10
Jumping-Jacks,30
Air-Squats,3X15
Plank,1-Minute
Sit-Up,3X10
Rest,Forever
